index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
1,-0.9,0.1,1.76,0.003435,0.5650559831,-5.673651384
2,-0.9011458298,0.0988541702,1.796,0.003544,0.5854868378,-5.6425217873
3,-0.9022785303,0.0977214697,1.833,0.003656,0.6058045164,-5.611495319
4,-0.903398252,0.096601748,1.87,0.00377,0.6260105966,-5.5805705132
5,-0.9045051436,0.0954948564,1.908,0.003888,0.6461066303,-5.5497459285
6,-0.9055993521,0.0944006479,1.947,0.00401,0.6660941446,-5.5190201466
7,-0.9066810228,0.0933189772,1.986,0.004134,0.685974642,-5.4883917729
8,-0.9077502995,0.0922497005,2.025,0.004263,0.7057496011,-5.4578594351
9,-0.908807324,0.091192676,2.066,0.004394,0.7254204767,-5.4274217832
10,-0.9098522369,0.0901477631,2.106,0.00453,0.7449887008,-5.397077489
11,-0.9108851768,0.0891148232,2.148,0.004669,0.7644556824,-5.3668252458
12,-0.911906281,0.088093719,2.19,0.004812,0.7838228086,-5.3366637677
13,-0.912915685,0.087084315,2.232,0.004959,0.8030914444,-5.3065917894
14,-0.913913523,0.086086477,2.276,0.00511,0.8222629335,-5.2766080656
15,-0.9148999275,0.0851000725,2.319,0.005265,0.8413385988,-5.2467113709
16,-0.9158750295,0.0841249705,2.364,0.005424,0.8603197422,-5.2169004992
17,-0.9168389585,0.0831610415,2.409,0.005588,0.8792076458,-5.1871742634
18,-0.9177918424,0.0822081576,2.455,0.005756,0.8980035717,-5.1575314952
19,-0.918733808,0.081266192,2.501,0.005929,0.9167087624,-5.1279710442
20,-0.9196649802,0.0803350198,2.548,0.006106,0.9353244415,-5.0984917784
21,-0.9205854828,0.0794145172,2.596,0.006288,0.9538518137,-5.0690925829
22,-0.921495438,0.078504562,2.644,0.006475,0.9722920653,-5.0397723605
23,-0.9223949666,0.0776050334,2.693,0.006667,0.9906463647,-5.0105300307
24,-0.9232841882,0.0767158118,2.743,0.006865,1.0089158623,-4.9813645298
25,-0.9241632209,0.0758367791,2.793,0.007067,1.0271016912,-4.9522748101
26,-0.9250321813,0.0749678187,2.844,0.007275,1.0452049674,-4.9232598402
27,-0.9258911848,0.0741088152,2.896,0.007489,1.0632267901,-4.8943186044
28,-0.9267403457,0.0732596543,2.948,0.007708,1.0811682419,-4.8654501023
29,-0.9275797767,0.0724202233,3.001,0.007934,1.0990303893,-4.8366533488
30,-0.9284095891,0.0715904109,3.055,0.008165,1.1168142827,-4.8079273735
31,-0.9292298934,0.0707701066,3.11,0.008402,1.1345209572,-4.7792712208
32,-0.9300407983,0.0699592017,3.165,0.008646,1.1521514321,-4.7506839493
33,-0.9308424117,0.0691575883,3.221,0.008896,1.169706712,-4.7221646318
34,-0.93163484,0.06836516,3.278,0.009153,1.1871877864,-4.6937123547
35,-0.9324181883,0.0675818117,3.335,0.009416,1.2045956303,-4.6653262183
36,-0.9331925608,0.0668074392,3.394,0.009687,1.2219312044,-4.637005336
37,-0.9339580604,0.0660419396,3.453,0.009964,1.2391954552,-4.6087488344
38,-0.9347147886,0.0652852114,3.513,0.01025,1.2563893157,-4.580555853
39,-0.935462846,0.064537154,3.573,0.01054,1.2735137049,-4.5524255439
40,-0.9362023319,0.0637976681,3.635,0.01084,1.2905695288,-4.5243570715
41,-0.9369333446,0.0630666554,3.697,0.01115,1.3075576798,-4.4963496128
42,-0.9376559811,0.0623440189,3.76,0.01147,1.3244790379,-4.4684023563
43,-0.9383703374,0.0616296626,3.824,0.01179,1.3413344701,-4.4405145027
44,-0.9390765085,0.0609234915,3.889,0.01212,1.358124831,-4.412685264
45,-0.939774588,0.060225412,3.954,0.01246,1.3748509629,-4.3849138636
46,-0.9404646687,0.0595353313,4.021,0.01281,1.391513696,-4.3571995364
47,-0.9411468422,0.0588531578,4.088,0.01317,1.4081138488,-4.3295415278
48,-0.9418211993,0.0581788007,4.156,0.01354,1.424652228,-4.3019390945
49,-0.9424878293,0.0575121707,4.225,0.01392,1.4411296287,-4.2743915035
50,-0.9431468209,0.0568531791,4.295,0.01431,1.457546835,-4.2468980323
51,-0.9437982615,0.0562017385,4.366,0.01471,1.4739046197,-4.2194579688
52,-0.9444422378,0.0555577622,4.438,0.01511,1.4902037447,-4.1920706108
53,-0.9450788352,0.0549211648,4.511,0.01553,1.5064449612,-4.1647352662
54,-0.9457081382,0.0542918618,4.584,0.01596,1.5226290099,-4.1374512524
55,-0.9463302305,0.0536697695,4.659,0.0164,1.5387566211,-4.1102178968
56,-0.9469451947,0.0530548053,4.734,0.01686,1.5548285146,-4.0830345358
57,-0.9475531125,0.0524468875,4.811,0.01732,1.5708454004,-4.0559005154
58,-0.9481540646,0.0518459354,4.888,0.0178,1.5868079787,-4.0288151906
59,-0.9487481307,0.0512518693,4.967,0.01828,1.6027169396,-4.0017779252
60,-0.9493353899,0.0506646101,5.046,0.01878,1.618572964,-3.9747880922
61,-0.9499159201,0.0500840799,5.126,0.0193,1.6343767231,-3.9478450729
62,-0.9504897984,0.0495102016,5.208,0.01982,1.6501288789,-3.9209482574
63,-0.951057101,0.048942899,5.29,0.02036,1.6658300843,-3.8940970442
64,-0.9516179034,0.0483820966,5.374,0.02091,1.6814809832,-3.8672908397
65,-0.9521722798,0.0478277202,5.458,0.02148,1.6970822105,-3.8405290589
66,-0.9527203041,0.0472796959,5.544,0.02206,1.7126343927,-3.8138111245
67,-0.9532620489,0.0467379511,5.63,0.02266,1.7281381474,-3.7871364672
68,-0.9537975863,0.0462024137,5.718,0.02327,1.7435940839,-3.7605045253
69,-0.9543269873,0.0456730127,5.807,0.0239,1.7590028032,-3.7339147449
70,-0.9548503223,0.0451496777,5.897,0.02454,1.7743648982,-3.7073665794
71,-0.9553676607,0.0446323393,5.988,0.0252,1.7896809535,-3.6808594897
72,-0.9558790714,0.0441209286,6.08,0.02588,1.804951546,-3.6543929439
73,-0.9563846221,0.0436153779,6.173,0.02657,1.8201772447,-3.6279664173
74,-0.9568843801,0.0431156199,6.267,0.02728,1.8353586108,-3.6015793921
75,-0.9573784117,0.0426215883,6.363,0.02801,1.8504961982,-3.5752313576
76,-0.9578667826,0.0421332174,6.46,0.02876,1.8655905532,-3.5489218097
77,-0.9583495575,0.0416504425,6.558,0.02952,1.8806422146,-3.5226502511
78,-0.9588268007,0.0411731993,6.657,0.03031,1.8956517141,-3.4964161912
79,-0.9592985755,0.0407014245,6.757,0.03111,1.9106195765,-3.4702191456
80,-0.9597649445,0.0402350555,6.859,0.03193,1.9255463191,-3.4440586366
81,-0.9602259698,0.0397740302,6.962,0.03278,1.9404324527,-3.4179341926
82,-0.9606817124,0.0393182876,7.066,0.03365,1.9552784812,-3.3918453481
83,-0.9611322331,0.0388677669,7.171,0.03453,1.9700849016,-3.3657916441
84,-0.9615775915,0.0384224085,7.278,0.03545,1.9848522046,-3.339772627
85,-0.9620178469,0.0379821531,7.386,0.03638,1.9995808741,-3.3137878497
86,-0.9624530578,0.0375469422,7.495,0.03733,2.0142713877,-3.2878368705
87,-0.9628832818,0.0371167182,7.606,0.03831,2.0289242168,-3.2619192536
88,-0.9633085762,0.0366914238,7.718,0.03932,2.0435398265,-3.2360345687
89,-0.9637289975,0.0362710025,7.831,0.04035,2.0581186757,-3.2101823912
90,-0.9641446014,0.0358553986,7.946,0.0414,2.0726612173,-3.184362302
91,-0.9645554433,0.0354445567,8.062,0.04249,2.0871678983,-3.1585738872
92,-0.9649615775,0.0350384225,8.18,0.04359,2.1016391598,-3.1328167382
93,-0.9653630582,0.0346369418,8.299,0.04473,2.1160754371,-3.1070904518
94,-0.9657599386,0.0342400614,8.419,0.0459,2.1304771598,-3.0813946297
95,-0.9661522714,0.0338477286,8.541,0.04709,2.1448447519,-3.055728879
96,-0.9665401088,0.0334598912,8.664,0.04831,2.1591786319,-3.0300928114
97,-0.9669235022,0.0330764978,8.789,0.04956,2.1734792128,-3.0044860436
98,-0.9673025026,0.0326974974,8.915,0.05085,2.1877469023,-2.9789081974
99,-0.9676771602,0.0323228398,9.043,0.05216,2.2019821027,-2.953358899
100,-0.9680475249,0.0319524751,9.172,0.05351,2.2161852112,-2.9278377795
101,-0.9684136459,0.0315863541,9.303,0.05489,2.2303566197,-2.9023444746
102,-0.9687755718,0.0312244282,9.436,0.05631,2.2444967152,-2.8768786243
103,-0.9691333506,0.0308666494,9.57,0.05776,2.2586058795,-2.8514398735
104,-0.9694870298,0.0305129702,9.705,0.05925,2.2726844898,-2.8260278711
105,-0.9698366565,0.0301633435,9.843,0.06077,2.2867329181,-2.8006422707
106,-0.9701822771,0.0298177229,9.982,0.06233,2.3007515317,-2.7752827298
107,-0.9705239374,0.0294760626,10.12,0.06393,2.3147406932,-2.7499489104
108,-0.970861683,0.029138317,10.26,0.06557,2.3287007608,-2.7246404785
109,-0.9711955585,0.0288044415,10.41,0.06725,2.3426320876,-2.6993571043
110,-0.9715256083,0.0284743917,10.55,0.06897,2.3565350226,-2.6740984619
111,-0.9718518764,0.0281481236,10.7,0.07073,2.3704099102,-2.6488642296
112,-0.972174406,0.027825594,10.85,0.07254,2.3842570903,-2.6236540892
113,-0.9724932399,0.0275067601,11,0.07439,2.3980768986,-2.5984677267
114,-0.9728084206,0.0271915794,11.15,0.07628,2.4118696664,-2.5733048318
115,-0.9731199898,0.0268800102,11.31,0.07823,2.425635721,-2.5481650978
116,-0.9734279889,0.0265720111,11.47,0.08021,2.4393753854,-2.5230482219
117,-0.973732459,0.026267541,11.62,0.08225,2.4530889783,-2.4979539047
118,-0.9740334403,0.0259665597,11.78,0.08434,2.4667768147,-2.4728818506
119,-0.9743309728,0.0256690272,11.95,0.08648,2.4804392054,-2.4478317672
120,-0.9746250962,0.0253749038,12.11,0.08867,2.4940764574,-2.4228033659
121,-0.9749158494,0.0250841506,12.28,0.09092,2.5076888737,-2.3977963612
122,-0.9752032711,0.0247967289,12.44,0.09322,2.5212767535,-2.3728104713
123,-0.9754873994,0.0245126006,12.61,0.09557,2.5348403922,-2.3478454175
124,-0.9757682721,0.0242317279,12.79,0.09799,2.5483800816,-2.3229009242
125,-0.9760459264,0.0239540736,12.96,0.1005,2.5618961098,-2.2979767194
126,-0.9763203993,0.0236796007,13.14,0.103,2.575388761,-2.273072534
127,-0.9765917272,0.0234082728,13.31,0.1056,2.5888583163,-2.248188102
128,-0.9768599462,0.0231400538,13.49,0.1082,2.6023050529,-2.2233231607
129,-0.9771250918,0.0228749082,13.68,0.111,2.6157292447,-2.1984774501
130,-0.9773871993,0.0226128007,13.86,0.1138,2.629131162,-2.1736507135
131,-0.9776463035,0.0223536965,14.05,0.1166,2.642511072,-2.1488426968
132,-0.9779024389,0.0220975611,14.24,0.1195,2.6558692383,-2.1240531492
133,-0.9781556393,0.0218443607,14.43,0.1225,2.6692059213,-2.0992818224
134,-0.9784059385,0.0215940615,14.62,0.1256,2.6825213782,-2.0745284711
135,-0.9786533697,0.0213466303,14.82,0.1288,2.695815863,-2.0497928525
136,-0.9788979657,0.0211020343,15.02,0.132,2.7090896263,-2.0250747269
137,-0.9791397591,0.0208602409,15.22,0.1353,2.722342916,-2.000373857
138,-0.979378782,0.020621218,15.42,0.1387,2.7355759765,-1.9756900083
139,-0.979615066,0.020384934,15.62,0.1421,2.7487890494,-1.9510229488
140,-0.9798486427,0.0201513573,15.83,0.1457,2.7619823733,-1.926372449
141,-0.9800795429,0.0199204571,16.04,0.1493,2.7751561838,-1.9017382821
142,-0.9803077974,0.0196922026,16.25,0.153,2.7883107136,-1.8771202237
143,-0.9805334366,0.0194665634,16.47,0.1568,2.8014461924,-1.8525180518
144,-0.9807564902,0.0192435098,16.69,0.1607,2.8145628472,-1.8279315468
145,-0.9809769881,0.0190230119,16.91,0.1647,2.8276609022,-1.8033604916
146,-0.9811949594,0.0188050406,17.13,0.1688,2.8407405788,-1.7788046713
147,-0.9814104332,0.0185895668,17.35,0.173,2.8538020956,-1.7542638735
148,-0.981623438,0.018376562,17.58,0.1773,2.8668456685,-1.7297378877
149,-0.9818340021,0.0181659979,17.81,0.1817,2.8798715109,-1.705226506
150,-0.9820421535,0.0179578465,18.05,0.1862,2.8928798335,-1.6807295224
151,-0.9822479199,0.0177520801,18.28,0.1909,2.9058708443,-1.6562467334
152,-0.9824513285,0.0175486715,18.52,0.1956,2.9188447489,-1.6317779373
153,-0.9826524064,0.0173475936,18.76,0.2004,2.9318017503,-1.6073229347
154,-0.9828511803,0.0171488197,19.01,0.2054,2.944742049,-1.5828815281
155,-0.9830476766,0.0169523234,19.25,0.2105,2.9576658431,-1.5584535223
156,-0.9832419214,0.0167580786,19.5,0.2157,2.9705733282,-1.5340387237
157,-0.9834339404,0.0165660596,19.76,0.221,2.9834646975,-1.509636941
158,-0.9836237593,0.0163762407,20.01,0.2264,2.996340142,-1.4852479848
159,-0.9838114031,0.0161885969,20.27,0.232,3.0091998501,-1.4608716674
160,-0.9839968969,0.0160031031,20.53,0.2378,3.0220440082,-1.4365078031
161,-0.9841802652,0.0158197348,20.8,0.2436,3.0348728001,-1.4121562082
162,-0.9843615324,0.0156384676,21.07,0.2496,3.0476864077,-1.3878167005
163,-0.9845407226,0.0154592774,21.34,0.2558,3.0604850104,-1.3634890999
164,-0.9847178596,0.0152821404,21.61,0.2621,3.0732687856,-1.3391732278
165,-0.984892967,0.015107033,21.89,0.2685,3.0860379084,-1.3148689075
166,-0.9850660678,0.0149339322,22.17,0.2751,3.098792552,-1.2905759638
167,-0.9852371853,0.0147628147,22.46,0.2819,3.1115328871,-1.2662942236
168,-0.985406342,0.014593658,22.74,0.2888,3.1242590827,-1.2420235149
169,-0.9855735605,0.0144264395,23.03,0.2959,3.1369713056,-1.2177636677
170,-0.9857388629,0.0142611371,23.33,0.3032,3.1496697206,-1.1935145134
171,-0.9859022713,0.0140977287,23.63,0.3106,3.1623544905,-1.1692758851
172,-0.9860638073,0.0139361927,23.93,0.3182,3.1750257761,-1.1450476173
173,-0.9862234923,0.0137765077,24.23,0.326,3.1876837363,-1.1208295461
174,-0.9863813476,0.0136186524,24.54,0.334,3.2003285279,-1.0966215091
175,-0.9865373942,0.0134626058,24.85,0.3422,3.2129603062,-1.0724233453
176,-0.9866916528,0.0133083472,25.17,0.3506,3.2255792242,-1.0482348952
177,-0.9868441438,0.0131558562,25.49,0.3591,3.2381854333,-1.0240560007
178,-0.9869948875,0.0130051125,25.81,0.3679,3.2507790831,-0.9998865049
179,-0.9871439039,0.0128560961,26.14,0.3769,3.2633603211,-0.9757262526
180,-0.9872912129,0.0127087871,26.47,0.3861,3.2759292933,-0.9515750896
181,-0.987436834,0.012563166,26.8,0.3956,3.288486144,-0.9274328634
182,-0.9875807865,0.0124192135,27.14,0.4052,3.3010310154,-0.9032994223
183,-0.9877230895,0.0122769105,27.48,0.4151,3.3135640484,-0.8791746163
184,-0.987863762,0.012136238,27.83,0.4253,3.3260853819,-0.8550582963
185,-0.9880028226,0.0119971774,28.18,0.4356,3.3385951533,-0.8309503148
186,-0.9881402899,0.0118597101,28.53,0.4463,3.3510934983,-0.8068505251
187,-0.988276182,0.011723818,28.89,0.4571,3.3635805509,-0.7827587819
188,-0.988410517,0.011589483,29.26,0.4683,3.3760564437,-0.758674941
189,-0.9885433127,0.0114566873,29.62,0.4797,3.3885213075,-0.7345988594
190,-0.9886745868,0.0113254132,29.99,0.4914,3.4009752716,-0.7105303951
191,-0.9888043568,0.0111956432,30.37,0.5034,3.4134184637,-0.6864694071
192,-0.9889326398,0.0110673602,30.75,0.5156,3.4258510101,-0.6624157558
193,-0.9890594529,0.0109405471,31.13,0.5282,3.4382730355,-0.6383693023
194,-0.989184813,0.010815187,31.52,0.541,3.4506846631,-0.6143299089
195,-0.9893087366,0.0106912634,31.92,0.5542,3.4630860147,-0.5902974387
196,-0.9894312403,0.0105687597,32.31,0.5676,3.4754772105,-0.5662717561
197,-0.9895523403,0.0104476597,32.72,0.5814,3.4878583694,-0.5422527262
198,-0.9896720527,0.0103279473,33.12,0.5956,3.5002296089,-0.5182402151
199,-0.9897903934,0.0102096066,33.54,0.61,3.5125910449,-0.4942340899
200,-0.9899073781,0.0100926219,33.95,0.6249,3.5249427921,-0.4702342184
201,-0.9900230224,0.0099769776,34.37,0.64,3.5372849638,-0.4462404695
202,-0.9901373415,0.0098626585,34.8,0.6556,3.5496176719,-0.4222527128
203,-0.9902503508,0.0097496492,35.23,0.6715,3.5619410271,-0.3982708188
204,-0.9903620652,0.0096379348,35.67,0.6878,3.5742551385,-0.3742946588
205,-0.9904724995,0.0095275005,36.11,0.7045,3.5865601142,-0.3503241049
206,-0.9905816685,0.0094183315,36.56,0.7215,3.5988560609,-0.32635903
207,-0.9906895865,0.0093104135,37.01,0.739,3.611143084,-0.3023993077
208,-0.990796268,0.009203732,37.47,0.757,3.6234212877,-0.2784448123
209,-0.9909017271,0.0090982729,37.93,0.7753,3.6356907749,-0.254495419
210,-0.9910059778,0.0089940222,38.4,0.7941,3.6479516473,-0.2305510035
211,-0.991109034,0.008890966,38.87,0.8133,3.6602040053,-0.2066114422
212,-0.9912109093,0.0087890907,39.35,0.833,3.6724479485,-0.1826766123
213,-0.9913116174,0.0086883826,39.83,0.8532,3.6846835747,-0.1587463916
214,-0.9914111714,0.0085888286,40.32,0.8739,3.6969109811,-0.1348206583
215,-0.9915095848,0.0084904152,40.82,0.895,3.7091302635,-0.1108992916
216,-0.9916068705,0.0083931295,41.32,0.9167,3.7213415164,-0.0869821709
217,-0.9917030415,0.0082969585,41.83,0.9389,3.7335448335,-0.0630691764
218,-0.9917981105,0.0082018895,42.34,0.9616,3.7457403073,-0.0391601888
219,-0.9918920902,0.0081079098,42.86,0.9849,3.7579280291,-0.0152550892
220,-0.991984993,0.008015007,43.38,1.009,3.7701080891,0.0086462406
221,-0.9920768314,0.0079231686,43.92,1.033,3.7822805766,0.0325439183
222,-0.9921676174,0.0078323826,44.45,1.058,3.7944455798,0.0564380614
223,-0.9922573632,0.0077426368,45,1.084,3.8066031856,0.0803287866
224,-0.9923460806,0.0076539194,45.55,1.11,3.8187534803,0.1042162104
225,-0.9924337815,0.0075662185,46.1,1.137,3.830896549,0.1281004488
226,-0.9925204775,0.0074795225,46.67,1.164,3.8430324755,0.1519816174
227,-0.9926061801,0.0073938199,47.24,1.192,3.8551613431,0.1758598314
228,-0.9926909007,0.0073090993,47.81,1.221,3.8672832338,0.1997352056
229,-0.9927746505,0.0072253495,48.4,1.251,3.8793982287,0.2236078545
230,-0.9928574407,0.0071425593,48.98,1.281,3.891506408,0.2474778924
231,-0.9929392823,0.0070607177,49.58,1.312,3.903607851,0.271345433
232,-0.9930201861,0.0069798139,50.18,1.343,3.9157026358,0.2952105899
233,-0.9931001629,0.0068998371,50.79,1.376,3.9277908399,0.3190734764
234,-0.9931792233,0.0068207767,51.41,1.409,3.9398725398,0.3429342056
235,-0.9932573778,0.0067426222,52.04,1.443,3.9519478108,0.3667928902
236,-0.9933346367,0.0066653633,52.67,1.478,3.9640167279,0.3906496427
237,-0.9934110104,0.0065889896,53.31,1.514,3.9760793646,0.4145045755
238,-0.9934865091,0.0065134909,53.95,1.55,3.988135794,0.4383578009
239,-0.9935611426,0.0064388574,54.61,1.588,4.000186088,0.4622094307
240,-0.9936349209,0.0063650791,55.27,1.626,4.012230318,0.4860595769
241,-0.9937078539,0.0062921461,55.94,1.665,4.0242685542,0.5099083511
242,-0.9937799512,0.0062200488,56.62,1.705,4.0363008662,0.5337558649
243,-0.9938512223,0.0061487777,57.3,1.746,4.0483273228,0.5576022298
244,-0.9939216769,0.0060783231,57.99,1.789,4.0603479919,0.5814475573
245,-0.9939913241,0.0060086759,58.7,1.832,4.0723629406,0.6052919586
246,-0.9940601733,0.0059398267,59.4,1.876,4.0843722352,0.6291355452
247,-0.9941282336,0.0058717664,60.12,1.921,4.0963759413,0.6529784282
248,-0.9941955141,0.0058044859,60.85,1.968,4.1083741237,0.676820719
249,-0.9942620236,0.0057379764,61.58,2.015,4.1203668464,0.7006625287
250,-0.994327771,0.005672229,62.32,2.064,4.1323541728,0.7245039688
251,-0.9943927651,0.0056072349,63.08,2.113,4.1443361652,0.7483451506
252,-0.9944570145,0.0055429855,63.84,2.164,4.1563128857,0.7721861855
253,-0.9945205277,0.0054794723,64.6,2.217,4.1682843951,0.796027185
254,-0.9945833131,0.0054166869,65.38,2.27,4.180250754,0.8198682607
